Project_ID,Construction_Year,City,Plot_Area_sqft,Builtup_Area_sqft,Number_of_Floors,House_Type,Construction_Quality,Bedroom_Count,Bathroom_Count,Hall_Count,Kitchen_Count,Foundation_Type,Steel_Quantity_kg,Cement_Bags,Sand_Quantity_m3,Aggregate_Quantity_m3,Brick_Quantity,Electrical_Points,Plumbing_Points,Mason_Labour_Days,Carpenter_Labour_Days,Electrician_Labour_Days,Plumber_Labour_Days,Cement_Rate_per_Bag,Steel_Rate_per_kg,Sand_Rate_per_m3,Brick_Rate_per_1000,Material_Cost,Labour_Cost,Total_Estimated_Cost
1,2013,Madurai,2657,2126,1,Residential,Economy,4,4,1,1,RCC,9567,701,31.89,25.51,17008,32,24,85,53,26,23,387,59,1376,10552,7328747.2,2955140.0,11820560.0
2,2011,Tiruppur,3140,2512,1,Residential,Economy,2,2,1,1,RCC,11304,828,37.68,30.14,20096,40,15,100,62,31,27,440,78,2393,7506,11743097.6,4735120.0,18940480.0
3,2019,Salem,3030,2424,1,Residential,Economy,2,2,1,1,RCC,10908,799,36.36,29.09,19392,43,25,96,60,30,26,375,76,1831,11589,8897049.6,3587520.0,14350080.0
4,2013,Trichy,1925,1540,1,Residential,Standard,5,4,1,1,RCC,6930,508,23.1,18.48,12320,33,26,61,38,19,17,367,77,1621,11066,8226556.8,3317160.0,13268640.0
5,2021,Madurai,3721,2977,2,Residential,Luxury,3,3,1,1,RCC,13396,982,44.66,35.72,23816,56,13,119,74,37,33,449,82,1699,7670,25648403.04,10342098.0,41368392.0
6,2019,Trichy,2536,2029,3,Residential,Premium,4,4,1,1,RCC,9130,669,30.43,24.35,16232,34,11,81,50,25,22,425,71,1537,9802,14081828.12,5678156.5,22712626.0
7,2020,Madurai,1777,1422,2,Residential,Economy,4,4,1,1,RCC,6399,469,21.33,17.06,11376,69,27,56,35,17,15,423,76,2134,7563,4901918.4,1976580.0,7906320.0
8,2019,Erode,1478,1183,2,Residential,Economy,4,4,1,1,RCC,5323,390,17.75,14.2,9464,82,17,47,29,14,13,451,70,2569,9842,3946014.8,1591135.0,6364540.0
9,2025,Chennai,1115,892,2,Residential,Standard,3,3,1,1,RCC,4014,294,13.38,10.7,7136,52,17,35,22,11,9,376,81,1707,10259,3809339.52,1536024.0,6144096.0
10,2022,Trichy,3001,2401,2,Residential,Standard,1,1,1,1,RCC,10804,792,36.02,28.81,19208,60,12,96,60,30,26,464,71,2326,9280,13790575.68,5560716.0,22242864.0
11,2012,Coimbatore,3126,2501,2,Residential,Standard,4,4,1,1,RCC,11254,825,37.52,30.01,20008,44,15,100,62,31,27,444,65,1224,10972,11015604.48,4441776.0,17767104.0
12,2023,Trichy,1932,1546,2,Residential,Economy,3,3,1,1,RCC,6957,510,23.19,18.55,12368,72,27,61,38,19,17,432,68,1457,11222,5674438.4,2288080.0,9152320.0
13,2022,Salem,1276,1021,2,Residential,Luxury,5,4,1,1,RCC,4594,336,15.31,12.25,8168,38,23,40,25,12,11,441,70,1327,8561,8386248.96,3381552.0,13526208.0
14,2020,Trichy,1343,1075,1,Residential,Standard,4,4,1,1,RCC,4837,354,16.12,12.9,8600,31,11,43,26,13,11,360,76,1509,11395,4590852.0,1851150.0,7404600.0
15,2016,Trichy,1518,1215,2,Residential,Economy,5,4,1,1,RCC,5467,400,18.22,14.58,9720,73,12,48,30,15,13,441,66,1911,11933,4188348.0,1688850.0,6755400.0
16,2024,Salem,2863,2291,2,Residential,Economy,1,1,1,1,RCC,10309,756,34.37,27.49,18328,86,17,91,57,28,25,370,62,1409,9806,11221318.0,4524725.0,18098900.0
17,2026,Madurai,2355,1884,2,Residential,Economy,2,2,1,1,RCC,8478,621,28.26,22.61,15072,43,30,75,47,23,20,429,58,2281,9441,7335542.4,2957880.0,11831520.0
18,2021,Tiruppur,1465,1172,3,Residential,Premium,3,3,1,1,RCC,5274,386,17.58,14.06,9376,53,25,46,29,14,13,429,82,2229,9700,6427130.8,2591585.0,10366340.0
19,2017,Coimbatore,2141,1713,3,Residential,Standard,2,2,1,1,RCC,7708,565,25.7,20.56,13704,88,19,68,42,21,19,453,58,1257,9288,9380113.92,3782304.0,15129216.0
20,2021,Madurai,3417,2734,2,Residential,Premium,2,2,1,1,RCC,12303,902,41.01,32.81,21872,35,15,109,68,34,30,373,65,2162,8611,18974725.52,7651099.0,30604396.0
21,2021,Tiruppur,2728,2183,1,Residential,Economy,4,4,1,1,RCC,9823,720,32.74,26.2,17464,35,29,87,54,27,24,375,70,1608,10916,10692334.0,4311425.0,17245700.0
22,2024,Salem,1913,1531,2,Residential,Economy,3,3,1,1,RCC,6889,505,22.96,18.37,12248,35,13,61,38,19,17,381,62,1256,8238,6986259.2,2817040.0,11268160.0
23,2014,Trichy,3382,2706,3,Residential,Luxury,2,2,1,1,RCC,12177,892,40.59,32.47,21648,41,8,108,67,33,30,361,81,2530,7841,21682853.28,8743086.0,34972344.0
24,2016,Chennai,3695,2956,3,Residential,Luxury,2,2,1,1,RCC,13302,975,44.34,35.47,23648,57,14,118,73,36,32,397,74,1692,11804,20717066.88,8353656.0,33414624.0
25,2011,Erode,2668,2135,2,Residential,Luxury,5,4,1,1,RCC,9607,704,32.02,25.62,17080,70,22,85,53,26,23,444,76,2258,10445,14105347.2,5687640.0,22750560.0
26,2026,Chennai,3567,2854,1,Residential,Standard,5,4,1,1,RCC,12843,941,42.81,34.25,22832,81,13,114,71,35,31,437,58,1506,8411,17156878.08,6918096.0,27672384.0
27,2020,Erode,1723,1379,2,Residential,Economy,5,4,1,1,RCC,6205,455,20.68,16.55,11032,86,11,55,34,17,15,431,59,1708,8567,4599792.4,1854755.0,7419020.0
28,2012,Salem,2417,1934,1,Residential,Luxury,1,1,1,1,RCC,8703,638,29.01,23.21,15472,66,27,77,48,24,21,424,77,2248,8633,11223388.8,4525560.0,18102240.0
29,2017,Erode,2418,1935,2,Residential,Luxury,5,4,1,1,RCC,8707,638,29.02,23.22,15480,58,25,77,48,24,21,385,72,1480,10413,17448436.8,7035660.0,28142640.0
30,2017,Salem,1622,1298,2,Residential,Premium,4,4,1,1,RCC,5841,428,19.47,15.58,10384,34,14,51,32,16,14,445,67,1450,8265,6487975.12,2616119.0,10464476.0
31,2017,Erode,2873,2299,1,Residential,Standard,3,3,1,1,RCC,10345,758,34.48,27.59,18392,37,20,91,57,28,25,422,63,2567,8832,13204720.32,5324484.0,21297936.0
32,2023,Coimbatore,1826,1461,3,Residential,Luxury,4,4,1,1,RCC,6574,482,21.91,17.53,11688,70,18,58,36,18,16,371,81,1949,7159,11413332.0,4602150.0,18408600.0
33,2022,Madurai,2730,2184,3,Residential,Luxury,4,4,1,1,RCC,9828,720,32.76,26.21,17472,62,24,87,54,27,24,368,61,1668,7858,12674188.8,5110560.0,20442240.0
34,2018,Tiruppur,1430,1144,2,Residential,Economy,3,3,1,1,RCC,5148,377,17.16,13.73,9152,41,21,45,28,14,12,468,79,1729,10325,4326608.0,1744600.0,6978400.0
35,2012,Madurai,1763,1411,3,Residential,Luxury,5,4,1,1,RCC,6349,465,21.16,16.93,11288,32,30,56,35,17,15,383,71,1348,9203,11022732.0,4444650.0,17778600.0
36,2017,Chennai,1085,868,3,Residential,Premium,1,1,1,1,RCC,3906,286,13.02,10.42,6944,58,11,34,21,10,9,418,58,1894,11530,4338645.92,1749454.0,6997816.0
37,2026,Erode,3138,2511,2,Residential,Standard,5,4,1,1,RCC,11299,828,37.66,30.13,20088,55,11,100,62,31,27,380,66,1303,8483,10050829.92,4052754.0,16211016.0
38,2024,Trichy,2032,1626,2,Residential,Standard,3,3,1,1,RCC,7317,536,24.39,19.51,13008,47,16,65,40,20,18,404,58,1712,7302,8250454.08,3326796.0,13307184.0
39,2025,Coimbatore,1077,862,1,Residential,Standard,5,4,1,1,RCC,3879,284,12.93,10.34,6896,82,11,34,21,10,9,444,78,2085,11055,5181930.24,2089488.0,8357952.0
40,2020,Coimbatore,3012,2410,3,Residential,Standard,3,3,1,1,RCC,10845,795,36.15,28.92,19280,42,20,96,60,30,26,404,59,1465,7116,11583038.4,4670580.0,18682320.0
41,2011,Chennai,1361,1089,3,Residential,Luxury,3,3,1,1,RCC,4900,359,16.34,13.07,8712,73,24,43,27,13,12,445,67,2426,8984,7413476.4,2989305.0,11957220.0
42,2018,Salem,2500,2000,1,Residential,Standard,4,4,1,1,RCC,9000,660,30.0,24.0,16000,25,16,80,50,25,22,406,68,2320,9650,9076800.0,3660000.0,14640000.0
43,2015,Chennai,2251,1801,1,Residential,Standard,3,3,1,1,RCC,8104,594,27.02,21.61,14408,67,20,72,45,22,20,370,73,1771,11118,9620797.92,3879354.0,15517416.0
44,2018,Tiruppur,2028,1623,1,Residential,Economy,5,4,1,1,RCC,7303,535,24.34,19.48,12984,36,12,64,40,20,18,411,76,1285,10227,5594805.6,2255970.0,9023880.0
45,2026,Tiruppur,1115,892,2,Residential,Standard,3,3,1,1,RCC,4014,294,13.38,10.7,7136,44,29,35,22,11,9,451,77,1997,9671,3689882.88,1487856.0,5951424.0
46,2026,Erode,3530,2824,1,Residential,Standard,3,3,1,1,RCC,12708,931,42.36,33.89,22592,79,30,112,70,35,31,463,74,1485,11290,11303681.28,4557936.0,18231744.0
47,2010,Chennai,3581,2865,3,Residential,Standard,1,1,1,1,RCC,12892,945,42.98,34.38,22920,42,28,114,71,35,31,406,61,1971,10697,11851473.6,4778820.0,19115280.0
48,2018,Chennai,1258,1007,3,Residential,Standard,1,1,1,1,RCC,4531,332,15.1,12.08,8056,83,10,40,25,12,11,455,74,2296,7753,5918743.2,2386590.0,9546360.0
49,2018,Coimbatore,3692,2954,1,Residential,Premium,4,4,1,1,RCC,13293,974,44.31,35.45,23632,51,15,118,73,36,32,454,78,2142,11046,14765391.76,5953787.0,23815148.0
50,2016,Chennai,2957,2366,1,Residential,Premium,4,4,1,1,RCC,10647,780,35.49,28.39,18928,43,18,94,59,29,26,392,78,1823,11651,11443442.92,4614291.5,18457166.0
51,2018,Erode,1682,1346,1,Residential,Economy,4,4,1,1,RCC,6057,444,20.19,16.15,10768,37,30,53,33,16,14,387,79,2202,9382,6592708.0,2658350.0,10633400.0
52,2013,Trichy,3643,2915,2,Residential,Luxury,4,4,1,1,RCC,13117,961,43.73,34.98,23320,50,17,116,72,36,32,370,73,1235,9372,25114240.8,10126710.0,40506840.0
53,2022,Coimbatore,3348,2679,1,Residential,Luxury,5,4,1,1,RCC,12055,884,40.18,32.15,21432,51,10,107,66,33,29,434,60,1490,11293,19852032.96,8004852.0,32019408.0
54,2021,Coimbatore,2340,1872,2,Residential,Premium,2,2,1,1,RCC,8424,617,28.08,22.46,14976,88,23,74,46,23,20,410,58,1525,7029,9660006.72,3895164.0,15580656.0
55,2014,Salem,3516,2813,3,Residential,Luxury,4,4,1,1,RCC,12658,928,42.2,33.76,22504,69,20,112,70,35,31,400,61,1878,7014,21410080.56,8633097.0,34532388.0
56,2010,Erode,2661,2129,2,Residential,Economy,4,4,1,1,RCC,9580,702,31.93,25.55,17032,62,16,85,53,26,23,407,60,2004,10196,8289474.4,3342530.0,13370120.0
57,2018,Chennai,1390,1112,2,Residential,Premium,4,4,1,1,RCC,5004,366,16.68,13.34,8896,31,29,44,27,13,12,396,78,1504,9042,5378321.44,2168678.0,8674712.0
58,2021,Tiruppur,2360,1888,2,Residential,Premium,5,4,1,1,RCC,8496,623,28.32,22.66,15104,79,8,75,47,23,20,463,82,2492,10277,10659119.36,4298032.0,17192128.0
59,2024,Trichy,2041,1633,3,Residential,Economy,1,1,1,1,RCC,7348,538,24.49,19.6,13064,42,28,65,40,20,18,396,73,1300,11506,7633948.4,3078205.0,12312820.0
60,2019,Madurai,1651,1321,1,Residential,Luxury,4,4,1,1,RCC,5944,435,19.81,15.85,10568,57,28,52,33,16,14,393,70,2543,8955,10319652.0,4161150.0,16644600.0
61,2015,Erode,2540,2032,2,Residential,Luxury,5,4,1,1,RCC,9144,670,30.48,24.38,16256,45,10,81,50,25,22,386,74,2218,11508,13016666.88,5248656.0,20994624.0
62,2014,Trichy,2126,1701,2,Residential,Luxury,3,3,1,1,RCC,7654,561,25.52,20.41,13608,49,15,68,42,21,18,371,63,1900,11553,14313302.64,5771493.0,23085972.0
63,2016,Chennai,1466,1173,2,Residential,Premium,2,2,1,1,RCC,5278,387,17.59,14.08,9384,77,20,46,29,14,13,412,81,2273,8720,7002059.28,2823411.0,11293644.0
64,2018,Trichy,2928,2343,2,Residential,Economy,3,3,1,1,RCC,10543,773,35.14,28.12,18744,71,12,93,58,29,26,447,74,2283,8769,11476014.0,4627425.0,18509700.0
65,2024,Salem,1473,1179,2,Residential,Luxury,2,2,1,1,RCC,5305,389,17.68,14.15,9432,64,8,47,29,14,13,376,59,2070,10877,9684023.04,3904848.0,15619392.0
66,2024,Salem,3507,2806,1,Residential,Luxury,1,1,1,1,RCC,12627,925,42.09,33.67,22448,56,11,112,70,35,31,388,62,1511,11279,25302487.68,10202616.0,40810464.0
67,2010,Tiruppur,1557,1246,3,Residential,Economy,4,4,1,1,RCC,5607,411,18.69,14.95,9968,41,15,49,31,15,13,432,59,2521,9488,4156157.6,1675870.0,6703480.0
68,2013,Chennai,1655,1324,3,Residential,Luxury,3,3,1,1,RCC,5958,436,19.86,15.89,10592,63,24,52,33,16,14,434,64,1994,9137,8481332.16,3419892.0,13679568.0
69,2024,Madurai,2143,1715,3,Residential,Economy,1,1,1,1,RCC,7717,565,25.72,20.58,13720,65,28,68,42,21,19,467,65,2173,11311,7251706.0,2924075.0,11696300.0
70,2019,Chennai,2201,1761,3,Residential,Economy,2,2,1,1,RCC,7924,581,26.41,21.13,14088,27,14,70,44,22,19,423,79,2525,10440,8232322.8,3319485.0,13277940.0
71,2017,Salem,1415,1132,2,Residential,Luxury,2,2,1,1,RCC,5094,373,16.98,13.58,9056,29,30,45,28,14,12,403,80,2061,9968,9070580.16,3657492.0,14629968.0
72,2012,Coimbatore,3028,2423,1,Residential,Premium,1,1,1,1,RCC,10903,799,36.34,29.08,19384,88,14,96,60,30,26,399,82,1597,8890,17600478.16,7096967.0,28387868.0
73,2025,Trichy,3381,2705,1,Residential,Premium,3,3,1,1,RCC,12172,892,40.57,32.46,21640,48,15,108,67,33,30,422,71,2562,7462,13958503.3,5628428.75,22513715.0
